name;email;age;salary;isActive
William;william2831@gmail.com;53;5763;true
Jessica;jessica9561@hotmail.com;96;2153;false
Thomas;thomas6356@gmail.com;26;6041;false
Thomas;thomas1716@gmail.com;45;7198;true
John;john3639@gmail.com;39;9196;false
Joseph;joseph4045@gmail.com;19;5291;false
Sarah;sarah2267@hotmail.com;62;4723;true
Charles;charles3169@hotmail.com;11;3350;false
Mia;mia1607@hotmail.com;23;6271;true
Emma;emma5754@hotmail.com;54;3668;false
Jane;jane595@gmail.com;16;6785;true
John;john1406@yahoo.com;79;3085;false
Charles;charles3152@yahoo.com;19;3846;false
Robert;robert6028@gmail.com;40;3552;true
Sophia;sophia3844@gmail.com;45;7766;false
